,0
7737,0.0075007353787179655
10917,0.007248891656841962
425,0.007137733306345566
12986,0.007045696297015701
86,0.007030238744834473
11456,0.006749646275591229
3521,0.006585183698513964
16896,0.006509052835581473
6907,0.0065064741923011905
13594,0.006476536103981946
14171,0.006472154563826372
14736,0.006455630790762229
13611,0.006420286303237354
15419,0.006405728391848308
6931,0.006368900450199333
9677,0.006293730796481842
4093,0.006271915476129851
17306,0.006258716692810588
6300,0.00620460863916069
3258,0.006183814547917813
14737,0.00617301020958181
4022,0.006172701144899496
8567,0.0061412783340035445
17545,0.006138218888976099
1336,0.0060945892927504455
14393,0.006091117557078129
13895,0.006083892356259749
5814,0.006067047115144192
13127,0.00605413833698904
15947,0.0060446395630802075
15720,0.005963144252169389
5180,0.005929329136838963
15998,0.005918454361146645
6805,0.0059110828057260525
11784,0.005905680596331636
16962,0.005901209810716398
6078,0.005892114671769788
16260,0.005884530779025021
4949,0.0058819686151602435
10847,0.005880131745668517
2844,0.005880124779319853
2767,0.00586981559369827
2492,0.005863065147977451
17688,0.005859379767470988
13122,0.005817913872851247
1355,0.005801109657338464
7374,0.005793060195398007
6732,0.005770330567080223
7216,0.005769710066484935
5910,0.005745931696065956
9725,0.005742934822325488
16099,0.005741572281834615
13374,0.00573119092143401
11228,0.005728220178314119
4031,0.005726810894247705
11092,0.005721014981990898
11774,0.005717733548407864
1876,0.005706495012105135
7388,0.005702105067251518
16536,0.0056957126002746584
3328,0.005690876505513469
13315,0.005668600829697619
16632,0.0056505255730121065
44,0.005641075541117777
16402,0.005636790184094214
11328,0.00563338817168159
12014,0.005614144611408753
16246,0.005576276592360984
3030,0.005545125610471692
5146,0.0055446182244126094
4534,0.005542204769735297
16409,0.005538592699354795
8486,0.005529893151626768
15644,0.005529765146344809
2569,0.005519556820751074
9669,0.0055109876084530225
12575,0.005504391037255741
17575,0.0054853930333743
4538,0.005484850576157298
13239,0.005481386753983543
3655,0.005458425383721452
16687,0.005438827452492954
14803,0.005432729135189846
8691,0.005427567682308425
5185,0.00542581435643243
10607,0.005424693392449177
8320,0.005410016131175402
1761,0.00540294340579325
8813,0.00539999938142343
9722,0.0053993428283864746
5715,0.005383904101095282
6347,0.0053749852956078694
11968,0.005369957486839162
353,0.0053683283512929595
4925,0.005367038607492356
6658,0.0053654128946481906
9716,0.0053632005353560705
13827,0.005356113280574812
14669,0.005354817800640767
11908,0.005353893338483154
16715,0.005352825286412594
7892,0.005349055332183061
6345,0.005346893509054049
2919,0.005343353253763736
9576,0.005339242280578966
8195,0.005335054555216393
15336,0.005333239165245744
15098,0.005330742004724699
9855,0.005318974762981061
8268,0.005317786749140471
9881,0.005315561561798561
3192,0.005310617790502805
14992,0.00530261409584798
14494,0.005300199783881294
2905,0.005295378243979825
